x,y,mag,time
-1033.799238,350.1147032,4.3,36720
-1052.114586,340.3275069,4,36720
-1004.477465,303.8479572,3.4,36721
-1032.245916,371.2461497,4.9,36721
-1038.821813,362.3486986,3.6,36721
-1028.253488,339.1041074,3.5,36721
-1054.90873,342.3294335,4.1,36721
-1034.792131,329.7617837,3.5,36721
-1039.893175,328.427166,3.8,36721
-886.4357405,420.9606581,3.5,36721
-1022.995945,355.1195195,3.5,36721
-1028.929499,340.4387251,4.3,36722
-1055.738147,343.8864874,3.7,36722
-1044.241392,341.1060339,3.6,36722
-997.6004213,362.4599167,3.4,36722
-1029.831711,332.3198009,4.5,36722
-1039.612261,336.6573083,3.8,36722
-1042.779078,362.9047893,4.6,36722
-1051.805365,365.4628065,5,36722
-1047.499685,361.5701716,5.6,36723
-1044.204778,356.7877916,3.8,36723
-1045.804171,362.0150441,5.4,36723
-1056.001072,352.7839386,4.2,36723
-1058.136718,341.3284702,3.6,36723
-1049.188777,351.560539,3.3,36723
-1053.83659,350.1147032,3.4,36723
-1069.226981,345.9996321,3.2,36723
-1051.839066,350.7820121,4.3,36723
-1048.552573,345.8884139,4.7,36723
-1042.877322,354.7858651,4,36723
-1046.383385,343.2191786,3.7,36723
-1044.728088,357.0102279,3.4,36723
-1047.895964,348.4464311,3.4,36723
-1000.049803,363.46088,3.2,36723
-1041.370867,360.0131176,5.1,36723
-1037.894099,353.5624655,3.7,36723
-1030.710739,356.4541372,4.7,36723
-1040.006358,329.8730018,3.6,36723
-1060.769334,342.3294335,4.2,36723
-1050.942054,360.2355539,3.4,36724
-1053.670531,365.1291521,3.9,36724
-1033.10787,282.6052925,3.9,36724
-1060.76101,354.3409925,3.4,36724
-1023.040147,358.0111911,3.3,36725
-964.6336848,328.9832567,4,36725
-1029.210919,359.2345907,3.5,36725
-1012.65771,351.0044483,4.4,36725
-1042.795187,353.89612,4,36725
-1029.169526,339.1041074,3.8,36726
-999.8028255,302.8469939,4.4,36726
-1027.907906,352.8951567,4.7,36726
-1037.330056,329.205693,3.3,36726
-1060.717905,374.4714758,3.6,36726
-1020.474651,324.8681855,3.5,36727
-1026.663686,291.8363981,3.6,36727
-1045.735272,373.02564,5.5,36727
-1061.088368,354.6746469,3.4,36727
-1045.120966,360.7916446,4.2,36727
-1054.171164,367.1310786,3.7,36727
-988.2476661,364.4618432,3.5,36727
-1053.973889,366.4637697,3.5,36727
-1048.253558,360.5692083,3.8,36727
-1047.158888,369.3554414,4.8,36727
-1052.212322,357.121446,3.5,36727
-1051.595321,356.1204828,3.5,36727
-1068.387905,362.682353,3.6,36727
-1048.72822,362.0150441,3.2,36727
-1020.645994,284.4960009,3.5,36727
-1033.470226,338.3255804,4,36728
-1047.438431,328.2047297,3.9,36728
-1041.708748,369.9115321,4.9,36728
-1037.090005,366.3525516,4.8,36728
-1024.973408,353.7849018,3.7,36728
-1055.96287,278.4902214,3,36728
-334.4355418,-177.0592781,3.8,36729
-316.6104692,-150.5893609,4.9,36729
-328.072078,-160.8214298,3.8,36729
-1011.916474,284.2735646,4.3,36729
-1025.507778,347.3342497,4.3,36729
-1038.647956,330.5403107,3.9,36729
-972.4106123,300.9562856,4.8,36730
-967.5589679,305.1825749,3.7,36730
-1017.451007,314.7473349,3.3,36730
-1038.73044,362.3486986,4.1,36731
-1059.670991,334.3217274,3.8,36731
-1025.328656,356.342919,3.6,36731
-1042.345802,344.1089237,4.4,36731
-1015.67478,354.3409925,3.8,36731
